PlayerID,LastName,FirstName,TeamID,player_total_wins,player_total_losses
117,Austin,Brandon,1104,5,6
118,Barnes,Tyler,1104,5,6
119,Clark,Christian,1104,5,6
120,Coleman,Justin,1104,5,6
121,Collins,Corban,1104,5,6
122,Cooper,Rodney,1104,5,6
123,Davis,Ar'Mond,1104,5,6
124,Edwards,Arthur,1104,5,6
125,Fuller,Landon,1104,5,6
126,Gibson,John,1104,5,6
127,Giddens,Daniel,1104,5,6
128,Hale,Shannon,1104,5,6
129,Hall,Donta,1104,5,6
130,Ingram,Dazon,1104,5,6
131,Johnson,Britton,1104,5,6
132,Johnson Jr.,Avery,1104,5,6
133,Jones,Herbert,1104,5,6
134,Kessens,Michael,1104,5,6
135,Key,Braxton,1104,5,6
136,King,Nick,1104,5,6
137,Lewis Jr. ,Kira,1104,5,6
138,Mack,Tevin,1104,5,6
139,Mitchell,Devin,1104,5,6
140,Norris,Riley,1104,5,6
141,Obasohan,Retin,1104,5,6
142,Olaniyan,Bola,1104,5,6
143,Petty Jr. ,John,1104,5,6
144,Randolph,Levi,1104,5,6
145,Reese,Alex,1104,5,6
146,Schaffer,Lawson,1104,5,6
147,Sexton,Collin,1104,5,6
148,Slaughter,Dakota,1104,5,6
149,Smith,Galin,1104,5,6
150,Tarrant Jr.,Ricky,1104,5,6
151,Taylor,Jimmie,1104,5,6
241,Anderson,Costa,1107,1,5
242,Andrews,Jamir,1107,1,5
243,Baker,Wheeler,1107,1,5
244,Brooks,Reece,1107,1,5
245,Campbell,Devonte,1107,1,5
246,Charles,Travis,1107,1,5
247,Clark,Ahmad,1107,1,5
248,Cochran,Xavier,1107,1,5
249,Conway,Matt,1107,1,5
250,Cremo,Joe,1107,1,5
251,De Sousa,Malachi,1107,1,5
252,Egharevba,Ede,1107,1,5
253,Ennema,Dallas,1107,1,5
254,Flory,Philip,1107,1,5
255,Foster,Alex,1107,1,5
256,French,Sasha,1107,1,5
257,Fruscio,Nick,1107,1,5
258,Grayson,Marqueese,1107,1,5
259,Green,Tre,1107,1,5
260,Hank,Brent,1107,1,5
261,Healy,Cameron,1107,1,5
262,Hooley,Peter,1107,1,5
263,Lands,Jaraan,1107,1,5
264,Lauderdale,Kendall,1107,1,5
265,Lulka,Adam,1107,1,5
266,Martin-Garcia,Terrel,1107,1,5
267,McKay,Geremy,1107,1,5
268,Miller,Rayshawn,1107,1,5
269,Nichols,David,1107,1,5
270,Peters,Richard,1107,1,5
271,Rizzuto,Antonio,1107,1,5
272,Rowley,Michael,1107,1,5
273,Rowley,Sam,1107,1,5
274,Sanders,Ray,1107,1,5
275,Singletary,Evan,1107,1,5
276,Stire,Greig,1107,1,5
277,Twyman,Max,1107,1,5
278,Wells,Mike,1107,1,5
279,Williams,Reece,1107,1,5
395,Akot,Emmanuel,1112,22,14
396,Alkins,Rawle,1112,22,14
397,Allen,Kadeem,1112,22,14
398,Anderson,Ryan,1112,22,14
399,Ashley,Brandon,1112,22,14
400,Ayton,Deandre,1112,22,14
401,Barcello,Alex,1112,22,14
402,Coleman,Justin,1112,22,14
403,Comanche,Chance,1112,22,14
404,Cruz,Paulo,1112,22,14
405,Denny,Talbott,1112,22,14
406,DesJardins,Jake,1112,22,14
407,Doutrive,Devonaire,1112,22,14
408,Hazzard,Jacob,1112,22,14
409,Hollis-Jefferson,Rondae,1112,22,14
410,Jackson-Cartwright,Parker,1112,22,14
411,Jeter,Chase,1112,22,14
412,Johnson,Stanley,1112,22,14
413,Jones,Kory,1112,22,14
414,Korcheck,Matt,1112,22,14
